+-----+--------------------------------------------+-------------------------+---------+----------+------+-------+---------+------------+-------------------------------------------------------------------+----------------------------+-------------------------+-------------------------+-------------------------+
|  ID | Registry name                              | Biome name              |   temp. | temp cat | rain |  snow | oceanic | BiomeType  | BiomeDictionary.Type                                              | Valid for                  | waterColorMultiplier    | grassColorMultiplier    | foliageColorMultiplier  |
| 103 | twilightforest:dark_forest_center          | Dark Forest Center      |    0.50 | MEDIUM   | 0.50 | false | false   |            | DENSE, FOREST, MAGICAL, SPOOKY                                    | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF8EB971 (  -7423631) | 0xFF71A74D (  -9328819) |
| 104 | twilightforest:highlands_center            | Highlands Center        |    0.30 | MEDIUM   | 0.20 | false | false   |            | DEAD, DRY, MESA, WASTELAND                                        | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF90B682 (  -7293310) | 0xFF74A362 (  -9133214) |
| 105 | twilightforest:thornlands                  | Thornlands              |    0.30 | MEDIUM   | 0.20 | false | false   |            | DEAD, DRY, HILLS, WASTELAND                                       | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF90B682 (  -7293310) | 0xFF74A362 (  -9133214) |
| 106 | erebus:underground_jungle                  | Underground Jungle      |    0.50 | MEDIUM   | 0.50 | false | false   |            | DENSE, HOT, JUNGLE, LUSH                                          | stronghold                 | 0x00FFFFFF (  16777215) | 0x0053CA37 (   5491255) | 0x0029BC05 (   2735109) |
| 107 | erebus:volcanic_desert                     | Volcanic Desert         |    0.50 | MEDIUM   | 0.50 | false | false   |            | DRY, HOT, SANDY                                                   | stronghold                 | 0x00FFFFFF (  16777215) | 0x00A6BB4E (  10926926) | 0x0091A922 (   9546018) |
| 108 | erebus:subterranean_savannah               | Subterranean Savannah   |    0.50 | MEDIUM   | 0.50 | false | false   |            | SAVANNA                                                           | stronghold                 | 0x00FFFFFF (  16777215) | 0x00B6B957 (  11974999) | 0x00A3A52D (  10724653) |
| 109 | erebus:elysian_fields                      | Elysian Fields          |    0.50 | MEDIUM   | 0.50 | false | false   |            | LUSH, PLAINS                                                      | stronghold                 | 0x00FFFFFF (  16777215) | 0x00C6FF54 (  13041492) | 0x00C6FF54 (  13041492) |
| 110 | erebus:ulterior_outback                    | Ulterior Outback        |    0.50 | MEDIUM   | 0.50 | false | false   |            | DRY, HOT, SANDY                                                   | stronghold                 | 0x00FFFFFF (  16777215) | 0x00C1B668 (  12695144) | 0x00C1B668 (  12695144) |
| 111 | erebus:fungal_forest                       | Fungal Forest           |    0.50 | MEDIUM   | 0.50 | false | false   |            | DENSE, MUSHROOM, SPOOKY                                           | stronghold                 | 0x00FFFFFF (  16777215) | 0x004E8833 (   5146675) | 0x004E8833 (   5146675) |
| 112 | erebus:submerged_swamp                     | Submerged Swamp         |    0.50 | MEDIUM   | 0.50 | false | false   |            | HOT, SWAMP, WATER, WET                                            | stronghold                 | 0x005C5835 (   6051893) | 0x00314D31 (   3231025) | 0x00314D31 (   3231025) |
| 113 | erebus:fields_sub_forest                   | Elysian Forest          |    0.50 | MEDIUM   | 0.50 | false | false   |            | FOREST, LUSH, MAGICAL                                             | stronghold                 | 0x00FFFFFF (  16777215) | 0x0074BF26 (   7651110) | 0x0074BF26 (   7651110) |
| 114 | erebus:petrified_forest                    | Petrified Forest        |    0.50 | MEDIUM   | 0.50 | false | false   |            | DEAD, DRY, HOT                                                    | stronghold                 | 0x00FFFFFF (  16777215) | 0x00C1B668 (  12695144) | 0x00C1B668 (  12695144) |
| 115 | iceandfire:glacier                         | Glacier                 |    0.00 | COLD     | 0.50 |  true | false   | COOL       | COLD, DEAD, SNOWY, SPARSE, WASTELAND                              | spawn, stronghold          | 0x00FFFFFF (  16777215) | 0xFF80B497 (  -8342377) | 0xFF60A17B ( -10444421) |
| 116 | integrateddynamics:biome_meneglin          | Meneglin                |    0.75 | MEDIUM   | 0.25 | false | false   | COOL       | COLD, MAGICAL                                                     | spawn, stronghold, village | 0x0055DDA8 (   5627304) | 0xFF9DBA5F (  -6440353) | 0xFF85A838 (  -8017864) |
| 117 | nex:ruthless_sands                         | Ruthless Sands          |    2.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, NETHER, PLAINS, SANDY, SAVANNA                          | stronghold                 | 0x00FFFFFF (  16777215) | 0xFFBFB755 (  -4212907) | 0xFFAEA42A (  -5331926) |
| 118 | nex:fungi_forest                           | Fungi Forest            |    1.10 | WARM     | 0.00 | false | false   |            | DRY, HOT, MUSHROOM, NETHER, PLAINS, SAVANNA                       | stronghold                 | 0x00FFFFFF (  16777215) | 0xFFBFB755 (  -4212907) | 0xFFAEA42A (  -5331926) |
| 119 | nex:torrid_wasteland                       | Torrid Wasteland        |    4.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, NETHER, PLAINS, SAVANNA, WASTELAND                      | stronghold                 | 0x00FFFFFF (  16777215) | 0xFFBFB755 (  -4212907) | 0xFFAEA42A (  -5331926) |
| 120 | nex:arctic_abyss                           | Arctic Abyss            |    0.00 | COLD     | 0.00 | false | false   |            | COLD, DRY, NETHER, PLAINS, WET                                    | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF80B497 (  -8342377) | 0xFF60A17B ( -10444421) |
| 121 | nuclearcraft:nuclear_wasteland             | Nuclear Wasteland       |    2.00 | WARM     | 0.50 | false | false   | DESERT     | DEAD, DRY, HOT, PLAINS, SAVANNA, SPARSE, WASTELAND                | spawn, stronghold          | 0x00FFFFFF (  16777215) | 0xFF82C245 (  -8207803) | 0xFF64B216 ( -10178026) |
| 122 | sugiforest:sugi_forest                     | Sugi Forest             |    0.25 | MEDIUM   | 0.90 | false | false   | WARM       | DENSE, FOREST, HILLS, WET                                         | spawn, stronghold          | 0x00FFFFFF (  16777215) | 0xFF85B783 (  -8013949) | 0xFF67A464 (  -9984924) |
| 123 | traverse:autumnal_woods                    | Autumnal Woods          |    0.70 | MEDIUM   | 0.80 | false | false   | COOL       | FOREST                                                            | spawn, stronghold          | 0x00FFFFFF (  16777215) | 0xFFD6C23D (  -2702787) | 0xFFD2D31F (  -2960609) |
| 124 | traverse:woodlands                         | Woodlands               |    0.80 | MEDIUM   | 0.40 | false | false   | WARM       | PLAINS                                                            | spawn, stronghold, village | 0x00FFFFFF (  16777215) | 0xFF99A955 (  -6706859) | 0xFF849E4A (  -8085942) |
| 125 | traverse:mini_jungle                       | Mini Jungle             |    0.95 | MEDIUM   | 0.90 | false | false   | WARM       | DENSE, HOT, JUNGLE, WET                                           | spawn                      | 0xFF24B01C ( -14372836) | 0xFF59C93C ( -10892996) | 0xFF30BB0B ( -13583605) |
| 126 | traverse:meadow                            | Meadow                  |    0.80 | MEDIUM   | 0.70 | false | false   | COOL       | LUSH, PLAINS, WET                                                 | spawn, stronghold, village | 0x00FFFFFF (  16777215) | 0xFF65CC53 ( -10105773) | 0xFF5DD64A ( -10627510) |
| 127 | minecraft:void                             | The Void                |    0.50 | MEDIUM   | 0.50 | false | false   |            | VOID                                                              | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF8EB971 (  -7423631) | 0xFF71A74D (  -9328819) |
| 128 | traverse:green_swamp                       | Lush Swamp              |    0.80 | MEDIUM   | 0.50 | false | false   | WARM       | LUSH, SWAMP, WET                                                  | spawn                      | 0x00FFFFFF (  16777215) | 0xFF4DD838 ( -11675592) | 0xFF4DD838 ( -11675592) |
| 129 | minecraft:mutated_plains                   | Sunflower Plains        |    0.80 | MEDIUM   | 0.40 | false | false   |            | PLAINS, RARE                                                      | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF91BD59 (  -7226023) | 0xFF77AB2F (  -8934609) |
| 130 | minecraft:mutated_desert                   | Desert M                |    2.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, RARE, SANDY                                             | stronghold                 | 0x00FFFFFF (  16777215) | 0xFFBFB755 (  -4212907) | 0xFFAEA42A (  -5331926) |
| 131 | minecraft:mutated_extreme_hills            | Extreme Hills M         |    0.20 | MEDIUM   | 0.30 | false | false   |            | MOUNTAIN, RARE, SPARSE                                            | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF8AB689 (  -7686519) | 0xFF6DA36B (  -9591957) |
| 132 | minecraft:mutated_forest                   | Flower Forest           |    0.70 | MEDIUM   | 0.80 | false | false   |            | FOREST, HILLS, RARE                                               | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF79C05A (  -8798118) | 0xFF59AE30 ( -10899920) |
| 133 | minecraft:mutated_taiga                    | Taiga M                 |    0.25 | MEDIUM   | 0.80 | false | false   |            | COLD, CONIFEROUS, FOREST, MOUNTAIN, RARE                          | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF86B783 (  -7948413) | 0xFF68A464 (  -9919388) |
| 134 | minecraft:mutated_swampland                | Swampland M             |    0.80 | MEDIUM   | 0.90 | false | false   |            | HILLS, RARE, SWAMP, WET                                           |                            | 0x00E0FFAE (  14745518) | 0xFF6AC44E (  -9780146) | 0xFF45B421 ( -12209119) |
| 135 | traverse:red_desert                        | Red Desert              |    2.00 | WARM     | 0.00 | false | false   | DESERT     | DRY, HOT, SANDY                                                   | spawn, stronghold, village | 0x00FFFFFF (  16777215) | 0xFFBFB755 (  -4212907) | 0xFFAEA42A (  -5331926) |
| 136 | traverse:temperate_rainforest              | Temperate Rainforest    |    0.60 | MEDIUM   | 0.90 | false | false   | COOL       | CONIFEROUS, FOREST                                                | spawn, stronghold          | 0x00FFFFFF (  16777215) | 0xFF338235 ( -13401547) | 0xFF338235 ( -13401547) |
| 137 | traverse:badlands                          | Badlands                |    0.60 | MEDIUM   | 0.10 | false | false   | WARM       | DRY, HOT, PLAINS, SPARSE                                          | spawn, stronghold, village | 0x00FFFFFF (  16777215) | 0xFFDBC77C (  -2373764) | 0xFFC2C168 (  -4013720) |
| 138 | traverse:mountainous_desert                | Mountainous Desert      |    2.00 | WARM     | 0.00 | false | false   | DESERT     | DRY, HOT, MOUNTAIN, SANDY                                         | spawn, stronghold          | 0x00FFFFFF (  16777215) | 0xFFBFB755 (  -4212907) | 0xFFAEA42A (  -5331926) |
| 139 | traverse:rocky_plateau                     | Rocky Plateau           |    0.80 | MEDIUM   | 0.20 | false | false   | WARM       | HOT, MOUNTAIN                                                     | spawn, stronghold, village | 0x00FFFFFF (  16777215) | 0xFFA2BA5D (  -6112675) | 0xFF8BA835 (  -7624651) |
| 140 | minecraft:mutated_ice_flats                | Ice Plains Spikes       |    0.00 | COLD     | 0.50 |  true | false   |            | COLD, HILLS, RARE, SNOWY                                          | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF80B497 (  -8342377) | 0xFF60A17B ( -10444421) |
| 141 | traverse:forested_hills                    | Forested Hills          |    0.70 | MEDIUM   | 0.80 | false | false   | COOL       | FOREST, HILLS                                                     | spawn, stronghold          | 0x00FFFFFF (  16777215) | 0xFF79C05A (  -8798118) | 0xFF59AE30 ( -10899920) |
| 142 | traverse:birch_forested_hills              | Birch Forested Hills    |    0.70 | MEDIUM   | 0.80 | false | false   | COOL       | FOREST, HILLS                                                     | spawn, stronghold          | 0x00FFFFFF (  16777215) | 0xFF79C05A (  -8798118) | 0xFF59AE30 ( -10899920) |
| 143 | traverse:autumnal_wooded_hills             | Autumnal Wooded Hills   |    0.70 | MEDIUM   | 0.80 | false | false   | COOL       | FOREST, HILLS                                                     | spawn, stronghold          | 0x00FFFFFF (  16777215) | 0xFFD6C23D (  -2702787) | 0xFFD2D31F (  -2960609) |
| 144 | traverse:cliffs                            | Cliffs                  |    0.40 | MEDIUM   | 1.20 | false | false   | COOL       | COLD, HILLS, MOUNTAIN                                             | spawn, stronghold          | 0x00FFFFFF (  16777215) | 0xFF81BB75 (  -8275083) | 0xFF60A952 ( -10442414) |
| 145 | traverse:glacier                           | Glacier                 |    0.00 | COLD     | 0.50 |  true | false   | ICY        | COLD, MOUNTAIN, SNOWY                                             | spawn, stronghold          | 0x00FFFFFF (  16777215) | 0xFF80B497 (  -8342377) | 0xFF60A17B ( -10444421) |
| 146 | traverse:glacier_spikes                    | Glacier Spikes          |    0.00 | COLD     | 0.50 |  true | false   | ICY        | COLD, MOUNTAIN, SNOWY                                             | spawn, stronghold          | 0x00FFFFFF (  16777215) | 0xFF80B497 (  -8342377) | 0xFF60A17B ( -10444421) |
| 147 | traverse:snowy_coniferous_forest           | Snowy Coniferous Forest |    0.00 | COLD     | 0.50 |  true | false   | ICY        | COLD, CONIFEROUS, FOREST, SNOWY                                   | spawn, stronghold          | 0x00FFFFFF (  16777215) | 0xFF338235 ( -13401547) | 0xFF338235 ( -13401547) |
| 148 | traverse:lush_hills                        | Lush Hills              |    0.50 | MEDIUM   | 0.80 | false | false   | COOL       | HILLS, LUSH, SPARSE, WET                                          | spawn, stronghold, village | 0x00FFFFFF (  16777215) | 0xFF7FE03E (  -8396738) | 0xFF58EA33 ( -10950093) |
| 149 | minecraft:mutated_jungle                   | Jungle M                |    0.95 | MEDIUM   | 0.90 | false | false   |            | DENSE, HOT, JUNGLE, MOUNTAIN, RARE, WET                           | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF59C93C ( -10892996) | 0xFF30BB0B ( -13583605) |
| 150 | traverse:desert_shrubland                  | Desert Shrubland        |    2.00 | WARM     | 0.00 | false | false   | DESERT     | DEAD, DRY, HOT, SANDY                                             | spawn, stronghold, village | 0x00FFFFFF (  16777215) | 0xFFE0CE5C (  -2044324) | 0xFFAEA42A (  -5331926) |
| 151 | minecraft:mutated_jungle_edge              | JungleEdge M            |    0.95 | MEDIUM   | 0.80 | false | false   |            | HILLS, HOT, JUNGLE, RARE, SPARSE                                  | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF64C73F ( -10172609) | 0xFF3EB80F ( -12666865) |
| 152 | traverse:thicket                           | Thicket                 |    0.80 | MEDIUM   | 0.30 | false | false   | WARM       | DENSE, FOREST                                                     | spawn, stronghold          | 0x00FFFFFF (  16777215) | 0xFF74CD61 (  -9122463) | 0xFF6DAF61 (  -9588895) |
| 153 | traverse:arid_highland                     | Arid Highland           |    2.00 | WARM     | 0.00 | false | false   | DESERT     | DRY, HILLS, HOT, MOUNTAIN, SPARSE                                 | spawn, stronghold, village | 0x00FFFFFF (  16777215) | 0xFFBACD78 (  -4534920) | 0xFF80A02E (  -8347602) |
| 154 | traverse:rocky_plains                      | Rocky Plains            |    0.90 | MEDIUM   | 0.70 | false | false   | COOL       | HILLS, PLAINS, SPARSE                                             | spawn, stronghold, village | 0x00FFFFFF (  16777215) | 0xFF73C447 (  -9190329) | 0xFF50B41A ( -11488230) |
| 155 | minecraft:mutated_birch_forest             | Birch Forest M          |    0.60 | MEDIUM   | 0.60 | false | false   |            | DENSE, FOREST, HILLS, RARE, SUPER_BIRCH_TREES, THEMED_TREES       | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF88BB66 (  -7816346) | 0xFF6BA940 (  -9721536) |
| 156 | minecraft:mutated_birch_forest_hills       | Birch Forest Hills M    |    0.60 | MEDIUM   | 0.60 | false | false   |            | DENSE, FOREST, MOUNTAIN, RARE, SUPER_BIRCH_TREES, THEMED_TREES    | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF88BB66 (  -7816346) | 0xFF6BA940 (  -9721536) |
| 157 | minecraft:mutated_roofed_forest            | Roofed Forest M         |    0.70 | MEDIUM   | 0.80 | false | false   |            | DENSE, FOREST, MOUNTAIN, RARE, SPOOKY                             | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF79C05A (  -8798118) | 0xFF59AE30 ( -10899920) |
| 158 | minecraft:mutated_taiga_cold               | Cold Taiga M            |   -0.50 | COLD     | 0.40 |  true | false   |            | COLD, CONIFEROUS, FOREST, MOUNTAIN, RARE, SNOWY                   | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF80B497 (  -8342377) | 0xFF60A17B ( -10444421) |
| 159 | advancedrocketry:moon                      | Moon                    |    0.30 | MEDIUM   | 0.00 | false | false   |            | DRY, PLAINS                                                       | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF93B683 (  -7096701) | 0xFF78A363 (  -8871069) |
| 160 | minecraft:mutated_redwood_taiga            | Mega Spruce Taiga       |    0.25 | MEDIUM   | 0.80 | false | false   |            | DENSE, FOREST, MEGA_TAIGA_SPRUCE_TREES, RARE, THEMED_TREES        | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF86B783 (  -7948413) | 0xFF68A464 (  -9919388) |
| 161 | minecraft:mutated_redwood_taiga_hills      | Redwood Taiga Hills M   |    0.25 | MEDIUM   | 0.80 | false | false   |            | DENSE, FOREST, HILLS, MEGA_TAIGA_SPRUCE_TREES, RARE, THEMED_TREES | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF86B783 (  -7948413) | 0xFF68A464 (  -9919388) |
| 162 | minecraft:mutated_extreme_hills_with_trees | Extreme Hills+ M        |    0.20 | MEDIUM   | 0.30 | false | false   |            | MOUNTAIN, RARE, SPARSE                                            | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF8AB689 (  -7686519) | 0xFF6DA36B (  -9591957) |
| 163 | minecraft:mutated_savanna                  | Savanna M               |    1.10 | WARM     | 0.00 | false | false   |            | DRY, HOT, MOUNTAIN, RARE, SAVANNA, SPARSE                         | stronghold                 | 0x00FFFFFF (  16777215) | 0xFFBFB755 (  -4212907) | 0xFFAEA42A (  -5331926) |
| 164 | minecraft:mutated_savanna_rock             | Savanna Plateau M       |    1.00 | WARM     | 0.00 | false | false   |            | DRY, HILLS, HOT, RARE, SAVANNA, SPARSE                            | stronghold                 | 0x00FFFFFF (  16777215) | 0xFFBFB755 (  -4212907) | 0xFFAEA42A (  -5331926) |
| 165 | minecraft:mutated_mesa                     | Mesa (Bryce)            |    2.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, MOUNTAIN, RARE, SAVANNA, SPARSE                         | stronghold                 | 0x00FFFFFF (  16777215) | 0xFFBFB755 (  -4212907) | 0xFFAEA42A (  -5331926) |
| 166 | minecraft:mutated_mesa_rock                | Mesa Plateau F M        |    2.00 | WARM     | 0.00 | false | false   |            | DRY, HILLS, HOT, RARE, SPARSE                                     | stronghold                 | 0x00FFFFFF (  16777215) | 0xFFBFB755 (  -4212907) | 0xFFAEA42A (  -5331926) |
| 167 | minecraft:mutated_mesa_clear_rock          | Mesa Plateau M          |    2.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, MOUNTAIN, RARE, SAVANNA, SPARSE                         | stronghold                 | 0x00FFFFFF (  16777215) | 0xFFBFB755 (  -4212907) | 0xFFAEA42A (  -5331926) |
| 168 | advancedrocketry:alien forest              | Alien Forest            |    0.50 | MEDIUM   | 0.50 | false | false   |            | PLAINS                                                            | stronghold                 | 0x008888FF (   8947967) | 0xFF8EB971 (  -7423631) | 0xFF71A74D (  -9328819) |
| 169 | advancedrocketry:hotdryrock                | HotDryRock              |    0.90 | MEDIUM   | 0.00 | false | false   |            | DRY, HOT, PLAINS                                                  | stronghold                 | 0x00FFFFFF (  16777215) | 0xFFB9B75B (  -4606117) | 0xFFA6A432 (  -5856206) |
| 170 | advancedrocketry:space                     | Space                   |    1.00 | WARM     | 0.50 | false | false   |            | HOT, PLAINS, RIVER, WATER                                         |                            | 0x00FFFFFF (  16777215) | 0xFF82C245 (  -8207803) | 0xFF64B216 ( -10178026) |
| 171 | advancedrocketry:stormland                 | Stormland               |    0.90 | MEDIUM   | 0.90 | false | false   |            | HOT, JUNGLE, WET                                                  | stronghold                 | 0x00FFFFFF (  16777215) | 0x00202020 (   2105376) | 0xFF37B812 ( -13125614) |
| 172 | advancedrocketry:crystalchasms             | CrystalChasms           |    0.10 | COLD     | 0.20 | false | false   |            | COLD, PLAINS                                                      | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF85B590 (  -8014448) | 0xFF67A273 (  -9985421) |
| 173 | advancedrocketry:deepswamp                 | DeepSwamp               |    0.90 | MEDIUM   | 0.90 | false | false   |            | DENSE, HOT, JUNGLE, SWAMP, WET                                    |                            | 0x00E0FFAE (  14745518) | 0xFF5FC842 ( -10500030) | 0xFF37B812 ( -13125614) |
| 174 | advancedrocketry:marsh                     | Marsh                   |    0.50 | MEDIUM   | 0.50 | false | false   |            | PLAINS                                                            |                            | 0x00FFFFFF (  16777215) | 0xFF8EB971 (  -7423631) | 0xFF71A74D (  -9328819) |
| 175 | advancedrocketry:oceanspires               | OceanSpires             |    0.50 | MEDIUM   | 0.50 | false | false   |            | PLAINS, RIVER, WATER                                              |                            | 0x00FFFFFF (  16777215) | 0xFF8EB971 (  -7423631) | 0xFF71A74D (  -9328819) |
| 176 | advancedrocketry:moondark                  | MoonDark                |    0.30 | MEDIUM   | 0.00 | false | false   |            | DRY, PLAINS                                                       | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF93B683 (  -7096701) | 0xFF78A363 (  -8871069) |
| 177 | aether_legacy:aether_highlands             | Aether Highlands        |    0.50 | MEDIUM   | 0.00 | false | false   |            | DRY, PLAINS                                                       | stronghold                 | 0x00FFFFFF (  16777215) | 0xFFA0B676 (  -6244746) | 0xFF87A353 (  -7888045) |
| 178 | thebetweenlands:patchy_islands             | Patchy Islands          |    0.80 | MEDIUM   | 0.90 | false | false   |            | SWAMP, WATER, WET                                                 | stronghold                 | 0x00184220 (   1589792) | 0xFF6AC44E (  -9780146) | 0xFF45B421 ( -12209119) |
| 179 | thebetweenlands:swamplands                 | Swamplands              |    0.80 | MEDIUM   | 0.90 | false | false   |            | DENSE, FOREST, SWAMP, WATER, WET                                  | stronghold                 | 0x00184220 (   1589792) | 0xFF6AC44E (  -9780146) | 0xFF45B421 ( -12209119) |
| 180 | thebetweenlands:deep_waters                | Deep Waters             |    0.80 | MEDIUM   | 0.90 | false | false   |            | SWAMP, WATER                                                      | stronghold                 | 0x001B3944 (   1784132) | 0xFF6AC44E (  -9780146) | 0xFF45B421 ( -12209119) |
| 181 | thebetweenlands:coarse_islands             | Coarse Islands          |    0.80 | MEDIUM   | 0.90 | false | false   |            | SWAMP, WATER, WET                                                 | stronghold                 | 0x001B3944 (   1784132) | 0xFF6AC44E (  -9780146) | 0xFF45B421 ( -12209119) |
| 182 | thebetweenlands:sludge_plains              | Sludge Plains           |    0.80 | MEDIUM   | 0.90 | false | false   |            | DEAD, SWAMP, WASTELAND, WET                                       | stronghold                 | 0x003A2F0B (   3813131) | 0xFF6AC44E (  -9780146) | 0xFF45B421 ( -12209119) |
| 183 | thebetweenlands:marsh_0                    | Marsh 0                 |    0.80 | MEDIUM   | 0.90 | false | false   |            | SWAMP, WATER, WET                                                 | stronghold                 | 0x00485E18 (   4742680) | 0xFF6AC44E (  -9780146) | 0xFF45B421 ( -12209119) |
| 184 | thebetweenlands:marsh_1                    | Marsh 1                 |    0.80 | MEDIUM   | 0.90 | false | false   |            | SWAMP, WATER, WET                                                 | stronghold                 | 0x00485E18 (   4742680) | 0xFF6AC44E (  -9780146) | 0xFF45B421 ( -12209119) |
+-----+--------------------------------------------+-------------------------+---------+----------+------+-------+---------+------------+-------------------------------------------------------------------+----------------------------+-------------------------+-------------------------+-------------------------+
|  ID | Registry name                              | Biome name              |   temp. | temp cat | rain |  snow | oceanic | BiomeType  | BiomeDictionary.Type                                              | Valid for                  | waterColorMultiplier    | grassColorMultiplier    | foliageColorMultiplier  |
+-----+--------------------------------------------+-------------------------+---------+----------+------+-------+---------+------------+-------------------------------------------------------------------+----------------------------+-------------------------+-------------------------+-------------------------+
