+-----+--------------------------------------------+-------------------------+---------+----------+------+-------+---------+------------+-------------------------------------------------------------------+----------------------------+
|  ID | Registry name                              | Biome name              |   temp. | temp cat | rain |  snow | oceanic | BiomeType  | BiomeDictionary.Type                                              | Valid for                  |
| 164 | minecraft:mutated_savanna_rock             | Savanna Plateau M       |    1.00 | WARM     | 0.00 | false | false   |            | DRY, HILLS, HOT, RARE, SAVANNA, SPARSE                            | stronghold                 |
| 165 | minecraft:mutated_mesa                     | Mesa (Bryce)            |    2.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, MOUNTAIN, RARE, SAVANNA, SPARSE                         | stronghold                 |
| 166 | minecraft:mutated_mesa_rock                | Mesa Plateau F M        |    2.00 | WARM     | 0.00 | false | false   |            | DRY, HILLS, HOT, RARE, SPARSE                                     | stronghold                 |
| 167 | minecraft:mutated_mesa_clear_rock          | Mesa Plateau M          |    2.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, MOUNTAIN, RARE, SAVANNA, SPARSE                         | stronghold                 |
| 168 | advancedrocketry:alien forest              | Alien Forest            |    0.50 | MEDIUM   | 0.50 | false | false   |            | PLAINS                                                            | stronghold                 |
| 169 | advancedrocketry:hotdryrock                | HotDryRock              |    0.90 | MEDIUM   | 0.00 | false | false   |            | DRY, HOT, PLAINS                                                  | stronghold                 |
| 170 | advancedrocketry:space                     | Space                   |    1.00 | WARM     | 0.50 | false | false   |            | HOT, PLAINS, RIVER, WATER                                         |                            |
| 171 | advancedrocketry:stormland                 | Stormland               |    0.90 | MEDIUM   | 0.90 | false | false   |            | HOT, JUNGLE, WET                                                  | stronghold                 |
| 172 | advancedrocketry:crystalchasms             | CrystalChasms           |    0.10 | COLD     | 0.20 | false | false   |            | COLD, PLAINS                                                      | stronghold                 |
| 173 | advancedrocketry:deepswamp                 | DeepSwamp               |    0.90 | MEDIUM   | 0.90 | false | false   |            | DENSE, HOT, JUNGLE, SWAMP, WET                                    |                            |
| 174 | advancedrocketry:marsh                     | Marsh                   |    0.50 | MEDIUM   | 0.50 | false | false   |            | PLAINS                                                            |                            |
| 175 | advancedrocketry:oceanspires               | OceanSpires             |    0.50 | MEDIUM   | 0.50 | false | false   |            | PLAINS, RIVER, WATER                                              |                            |
| 176 | advancedrocketry:moondark                  | MoonDark                |    0.30 | MEDIUM   | 0.00 | false | false   |            | DRY, PLAINS                                                       | stronghold                 |
| 177 | aether_legacy:aether_highlands             | Aether Highlands        |    0.50 | MEDIUM   | 0.00 | false | false   |            | DRY, PLAINS                                                       | stronghold                 |
| 178 | thebetweenlands:patchy_islands             | Patchy Islands          |    0.80 | MEDIUM   | 0.90 | false | false   |            | SWAMP, WATER, WET                                                 | stronghold                 |
| 179 | thebetweenlands:swamplands                 | Swamplands              |    0.80 | MEDIUM   | 0.90 | false | false   |            | DENSE, FOREST, SWAMP, WATER, WET                                  | stronghold                 |
| 180 | thebetweenlands:deep_waters                | Deep Waters             |    0.80 | MEDIUM   | 0.90 | false | false   |            | SWAMP, WATER                                                      | stronghold                 |
| 181 | thebetweenlands:coarse_islands             | Coarse Islands          |    0.80 | MEDIUM   | 0.90 | false | false   |            | SWAMP, WATER, WET                                                 | stronghold                 |
| 182 | thebetweenlands:sludge_plains              | Sludge Plains           |    0.80 | MEDIUM   | 0.90 | false | false   |            | DEAD, SWAMP, WASTELAND, WET                                       | stronghold                 |
| 183 | thebetweenlands:marsh_0                    | Marsh 0                 |    0.80 | MEDIUM   | 0.90 | false | false   |            | SWAMP, WATER, WET                                                 | stronghold                 |
| 184 | thebetweenlands:marsh_1                    | Marsh 1                 |    0.80 | MEDIUM   | 0.90 | false | false   |            | SWAMP, WATER, WET                                                 | stronghold                 |
+-----+--------------------------------------------+-------------------------+---------+----------+------+-------+---------+------------+-------------------------------------------------------------------+----------------------------+
|  ID | Registry name                              | Biome name              |   temp. | temp cat | rain |  snow | oceanic | BiomeType  | BiomeDictionary.Type                                              | Valid for                  |
+-----+--------------------------------------------+-------------------------+---------+----------+------+-------+---------+------------+-------------------------------------------------------------------+----------------------------+
